Time (UTC), Frequency (MHz),Level (dB/Hz)
1551105545.0, 140.34375, -48.0377841789
1551105545.0, 140.345703125, -47.9379168533
1551105545.0, 140.34765625, -48.2854287521
1551105545.0, 140.349609375, -48.4959713082
1551105545.0, 140.3515625, -48.6519699663
1551105545.0, 140.353515625, -48.646781726
1551105545.0, 140.35546875, -48.63368953
1551105545.0, 140.357421875, -48.6194414828
1551105545.0, 140.359375, -48.0660982174
1551105545.0, 140.361328125, -48.331854217
1551105545.0, 140.36328125, -48.5035607966
1551105545.0, 140.365234375, -48.5062366574
1551105545.0, 140.3671875, -48.817105093
1551105545.0, 140.369140625, -48.2865871802
1551105545.0, 140.37109375, -48.4831687668
1551105545.0, 140.373046875, -48.3267030325
1551105545.0, 140.375, -47.6588011438
1551105545.0, 140.376953125, -48.1110349422
1551105545.0, 140.37890625, -48.7187637588
1551105545.0, 140.380859375, -48.3194117409
1551105545.0, 140.3828125, -48.8607939965
1551105545.0, 140.384765625, -48.9011139426
1551105545.0, 140.38671875, -48.6199924484
1551105545.0, 140.388671875, -48.5620162474
1551105545.0, 140.390625, -48.4893831013
1551105545.0, 140.392578125, -48.4223141467
1551105545.0, 140.39453125, -48.3064997964
1551105545.0, 140.396484375, -48.2513722001
1551105545.0, 140.3984375, -48.1312839201
1551105545.0, 140.400390625, -48.4846587629
1551105545.0, 140.40234375, -48.7377932664
1551105545.0, 140.404296875, -49.0498358083
1551105545.0, 140.40625, -48.5164395504
1551105545.0, 140.408203125, -48.4325944915
1551105545.0, 140.41015625, -48.359692424
1551105545.0, 140.412109375, -48.821535796
1551105545.0, 140.4140625, -48.5043324821
1551105545.0, 140.416015625, -48.2915251511
1551105545.0, 140.41796875, -48.256921588
1551105545.0, 140.419921875, -48.3653401001
1551105545.0, 140.421875, -48.2122408584
1551105545.0, 140.423828125, -48.3496010486
1551105545.0, 140.42578125, -48.4939566747
1551105545.0, 140.427734375, -48.3819846887
1551105545.0, 140.4296875, -48.4858397822
1551105545.0, 140.431640625, -48.4842029319
1551105545.0, 140.43359375, -48.969499566
1551105545.0, 140.435546875, -48.6138383371
1551105545.0, 140.4375, -48.4101955805
1551105545.0, 140.439453125, -48.4347624643
1551105545.0, 140.44140625, -48.3005079486
1551105545.0, 140.443359375, -48.2137775439
1551105545.0, 140.4453125, -48.1549439037
1551105545.0, 140.447265625, -48.182494531
1551105545.0, 140.44921875, -48.2538891797
1551105545.0, 140.451171875, -48.2946542141
1551105545.0, 140.453125, -48.0779284463
1551105545.0, 140.455078125, -48.0727014714
1551105545.0, 140.45703125, -48.1572078352
1551105545.0, 140.458984375, -48.4285863069
1551105545.0, 140.4609375, -48.6112863238
1551105545.0, 140.462890625, -48.2652233427
1551105545.0, 140.46484375, -48.348382464
1551105545.0, 140.466796875, -48.6232652763
1551105545.0, 140.46875, -48.2385773707
1551105545.0, 140.470703125, -48.1621370839
1551105545.0, 140.47265625, -48.2325884801
1551105545.0, 140.474609375, -48.3800679789
1551105545.0, 140.4765625, -48.5721254243
1551105545.0, 140.478515625, -48.5409858825
1551105545.0, 140.48046875, -48.4746431921
1551105545.0, 140.482421875, -48.1940133415
1551105545.0, 140.484375, -48.5125553597
1551105545.0, 140.486328125, -48.8147221012
1551105545.0, 140.48828125, -48.5641021752
1551105545.0, 140.490234375, -48.4243538659
1551105545.0, 140.4921875, -48.0244399431
1551105545.0, 140.494140625, -48.043902206
1551105545.0, 140.49609375, -48.0600956404
1551105545.0, 140.498046875, -48.2304729671
1551105545.0, 140.5, -47.9754498024
1551105545.0, 140.501953125, -48.2472869645
1551105545.0, 140.50390625, -48.3072303145
1551105545.0, 140.505859375, -48.0663653269
1551105545.0, 140.5078125, -48.1560485419
1551105545.0, 140.509765625, -48.0179160473
1551105545.0, 140.51171875, -47.9865354428
1551105545.0, 140.513671875, -48.1510710812
1551105545.0, 140.515625, -48.0275250624
1551105545.0, 140.517578125, -47.8417166514
1551105545.0, 140.51953125, -48.1379053858
1551105545.0, 140.521484375, -48.1130882816
1551105545.0, 140.5234375, -48.0147362751
1551105545.0, 140.525390625, -48.3219005559
1551105545.0, 140.52734375, -48.3361306806
1551105545.0, 140.529296875, -48.0177749524
1551105545.0, 140.53125, -47.9551455579
1551105545.0, 140.533203125, -48.3711992648
1551105545.0, 140.53515625, -48.5489632859
1551105545.0, 140.537109375, -48.7598474648
1551105545.0, 140.5390625, -48.4620876819
1551105545.0, 140.541015625, -48.553089827
1551105545.0, 140.54296875, -48.3970592298
1551105545.0, 140.544921875, -48.2008985502
1551105545.0, 140.546875, -48.2692286526
1551105545.0, 140.548828125, -48.2503000713
1551105545.0, 140.55078125, -48.1344227911
1551105545.0, 140.552734375, -48.0912258899
1551105545.0, 140.5546875, -48.120730071
1551105545.0, 140.556640625, -48.0506757154
1551105545.0, 140.55859375, -47.5051309259
1551105545.0, 140.560546875, -47.4163235953
1551105545.0, 140.5625, -47.587578941
1551105545.0, 140.564453125, -47.0956888958
1551105545.0, 140.56640625, -46.9992573435
1551105545.0, 140.568359375, -46.8692125545
1551105545.0, 140.5703125, -46.9414637181
